filename,number_of_pages,categorized,all_categorized,file_location,content
104-10076-10371.pdf,3,3,True,/Users/furkandemir/Desktop/Thesis/files/3/104-10076-10371.pdf,
104-10076-10372.pdf,3,3,True,/Users/furkandemir/Desktop/Thesis/files/3/104-10076-10372.pdf,
104-10076-10374.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10076-10374.pdf,
104-10076-10375.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10076-10375.pdf,
104-10076-10400.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10076-10400.pdf,
104-10076-10416.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10076-10416.pdf,
104-10076-10442.pdf,3,3,True,/Users/furkandemir/Desktop/Thesis/files/3/104-10076-10442.pdf,
104-10077-10067.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10077-10067.pdf,
104-10077-10076.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10077-10076.pdf,
104-10077-10087.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10077-10087.pdf,
104-10077-10112.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10077-10112.pdf,
104-10077-10136.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10077-10136.pdf,
104-10077-10153.pdf,6,6,True,/Users/furkandemir/Desktop/Thesis/files/6-10/104-10077-10153.pdf,
104-10077-10266.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10077-10266.pdf,
104-10077-10285.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10077-10285.pdf,
104-10077-10296.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10077-10296.pdf,
104-10077-10356.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10077-10356.pdf,
104-10077-10369.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10077-10369.pdf,
